t,W,p_R,B_drive,R_drive
60,1.0102520151346845,0.8175404208207627,1.0,0.0
61,1.0230154888972451,0.8187130937731808,1.0,0.0
62,1.03598190321994,0.8197965457750414,1.0,0.0
63,1.0491357601261104,0.8208043372772341,1.0,0.0
64,1.0624618798646388,0.8217483683255055,1.0,0.0
65,1.0751361881180204,0.8288425214025659,0.0,0.0
66,1.0871842660124234,0.835524572020199,0.0,0.0
67,1.0986314356584002,0.8418202016280161,0.0,0.0
68,1.1095025770947113,0.8477539753874971,0.0,0.0
69,1.119821987368771,0.8533492420577131,0.0,0.0
70,1.1296132751536054,0.8586280799911501,0.0,0.0
71,1.1388992849706014,0.8636112787261592,0.0,0.0
72,1.1477020457922746,0.8683183474696253,0.0,0.0
73,1.156042739492922,0.872767543376157,0.0,0.0
74,1.1639416852681237,0.876975913929089,0.0,0.0
75,1.1714183367402362,0.8809593489156469,0.0,0.0
76,1.1784912889988703,0.8847326384779884,0.0,0.0
77,1.1851782932914456,0.8883095345341461,0.0,0.0
78,1.1914962774816542,0.8917028135212166,0.0,0.0
79,1.1974613707376585,0.8949243389404757,0.0,0.0
80,1.203559935878116,0.8948146350977549,1.0,0.0
81,1.2097878925728007,0.8946851626300816,1.0,0.0
82,1.216141122235167,0.8945386319561696,1.0,0.0
83,1.2226154767207529,0.8943775394878499,1.0,0.0
84,1.2292067866737204,0.8942041837314675,1.0,0.0
85,1.235453771530881,0.8971341592688344,0.0,0.0
86,1.2413703963858065,0.8999287081628382,0.0,0.0
87,1.246970006409394,0.9025957379646038,0.0,0.0
88,1.2522653496910825,0.9051426410388583,0.0,0.0
89,1.2572686006946239,0.9075763272675395,0.0,0.0
90,1.2619913839650558,0.9099032554005873,0.0,0.0
91,1.2664447977980529,0.9121294629171889,0.0,0.0
92,1.2706394376448675,0.9142605943198492,0.0,0.0
93,1.2745854190774666,0.9163019278289449,0.0,0.0
94,1.2782924001808285,0.9182584004795828,0.0,0.0
95,1.2817696032741015,0.9201346316479051,0.0,0.0
96,1.2850258358906645,0.9219349450522849,0.0,0.0
97,1.2880695109700924,0.9236633892876405,0.0,0.0
98,1.2909086662335385,0.925323756959574,0.0,0.0
99,1.293550982728825,0.926919602490187,0.0,0.0
100,1.296301461568142,0.9265299154658284,1.0,1.0
101,1.299158243317913,0.926137253387343,1.0,1.0
102,1.302119435660491,0.9257422476939804,1.0,1.0
103,1.3051831160382483,0.9253455017705168,1.0,1.0
104,1.3083473342708272,0.9249475916561479,1.0,1.0
105,1.3113142945793532,0.9264742177110695,0.0,0.0
106,1.3140909430939156,0.9279455165628789,0.0,0.0
107,1.3166839416729543,0.9293641387834923,0.0,0.0
108,1.3190996808823463,0.9307325839211323,0.0,0.0
109,1.321344292422146,0.9320532100005319,0.0,0.0
110,1.3234236610088541,0.9333282424148167,0.0,0.0
111,1.325343435724333,0.9345597822426885,0.0,0.0
112,1.3271090408449548,0.9357498140240896,0.0,0.0
113,1.328725686166422,0.9369002130267213,0.0,0.0
114,1.3301983768410248,0.9380127520347443,0.0,0.0
115,1.3315319227450022,0.9390891076897524,0.0,0.0
116,1.3327309473942293,0.9401308664127651,0.0,0.0
117,1.3337998964267268,0.9411395299345703,0.0,0.0
118,1.334743045670534,0.9421165204602956,0.0,0.0
119,1.3355645088153514,0.9430631854926348,0.0,0.0
120,1.336475712776937,0.9426741145341364,1.0,1.0
121,1.3374757798030097,0.942282999896314,1.0,1.0
122,1.3385638094987409,0.9418901210016386,1.0,1.0
123,1.3397388796252518,0.9414957501295795,1.0,1.0
124,1.3410000469080605,0.9411001524829792,1.0,1.0
